,date,state,city,confirmed,deaths,is_last,estimated_population_2019,confirmed_per_100k_inhabitants
4125,2020-05-13,PE,Bonito,10,3,False,38134.0,26.22332
4126,2020-05-13,PE,Brejo da Madre de Deus,2,0,False,50742.0,3.94151
4127,2020-05-13,PE,Buenos Aires,3,1,False,13155.0,22.805020000000003
4128,2020-05-13,PE,Buíque,3,0,False,58378.0,5.13892
4129,2020-05-13,PE,Cabo de Santo Agostinho,244,42,False,207048.0,117.84707
4130,2020-05-13,PE,Cabrobó,1,0,False,34221.0,2.92218
4131,2020-05-13,PE,Cachoeirinha,13,0,False,20380.0,63.788030000000006
4132,2020-05-13,PE,Caetés,9,0,False,28739.0,31.316329999999997
4133,2020-05-13,PE,Camaragibe,463,32,False,157828.0,293.35733
4134,2020-05-13,PE,Camocim de São Félix,6,0,False,18765.0,31.974420000000002
4135,2020-05-13,PE,Camutanga,3,1,False,8551.0,35.08362
4136,2020-05-13,PE,Canhotinho,1,0,False,24804.0,4.03161
4137,2020-05-13,PE,Capoeiras,3,1,False,20048.0,14.964089999999999
4138,2020-05-13,PE,Carnaíba,5,4,False,19551.0,25.57414
4139,2020-05-13,PE,Carnaubeira da Penha,2,1,False,12932.0,15.46551
4140,2020-05-13,PE,Carpina,32,8,False,83641.0,38.25875
4141,2020-05-13,PE,Caruaru,85,10,False,361118.0,23.53801
4142,2020-05-13,PE,Catende,13,5,False,42892.0,30.30868
4143,2020-05-13,PE,Cedro,1,0,False,11807.0,8.46955
4144,2020-05-13,PE,Chã de Alegria,25,1,False,13518.0,184.9386
4145,2020-05-13,PE,Chã Grande,37,3,False,21698.0,170.52263
4146,2020-05-13,PE,Condado,20,2,False,26421.0,75.69736
4147,2020-05-13,PE,Correntes,2,1,False,18207.0,10.98479
4148,2020-05-13,PE,Cortês,11,1,False,12578.0,87.45429
4149,2020-05-13,PE,Cumaru,10,0,False,10906.0,91.69265
4150,2020-05-13,PE,Cupira,5,1,False,24107.0,20.74086
4151,2020-05-13,PE,Custódia,17,2,False,37111.0,45.80852
4152,2020-05-13,PE,Escada,39,5,False,68875.0,56.62432
4153,2020-05-13,PE,Feira Nova,16,5,False,22131.0,72.29678
4154,2020-05-13,PE,Fernando de Noronha,28,0,False,3061.0,914.73375
4155,2020-05-13,PE,Ferreiros,15,4,False,12123.0,123.73175
4156,2020-05-13,PE,Flores,0,0,False,22624.0,
4157,2020-05-13,PE,Floresta,4,2,False,32873.0,12.16804
4158,2020-05-13,PE,Frei Miguelinho,17,3,False,15457.0,109.98253000000001
4159,2020-05-13,PE,Gameleira,8,2,False,31052.0,25.76324
4160,2020-05-13,PE,Garanhuns,45,4,False,139788.0,32.1916
4161,2020-05-13,PE,Glória do Goitá,30,10,False,30604.0,98.0264
4162,2020-05-13,PE,Goiana,87,11,False,79758.0,109.07996999999999
4163,2020-05-13,PE,Granito,1,0,False,7486.0,13.358270000000001
4164,2020-05-13,PE,Gravatá,31,3,False,84074.0,36.872279999999996
4165,2020-05-13,PE,Ibimirim,10,4,False,29235.0,34.20558
4166,2020-05-13,PE,Ibirajuba,1,0,False,7762.0,12.883280000000001
4167,2020-05-13,PE,Igarassu,149,22,False,117019.0,127.32975
