"longitude","latitude","day1","day2","day3","prediction"
-40.6467797172751,-9.30611219233062,0,0,0,0
-40.6184081832702,-9.30611219233062,0,0,0,0
-40.5900366492654,-9.30611219233062,0,0,0,0
-40.5616651152606,-9.30611219233062,0,0,0,0
-40.5332935812557,-9.30611219233062,0,0,0,0
-40.5049220472509,-9.30611219233062,0,0,0,0
-40.476550513246,-9.30611219233062,0,0,0,0
-40.4481789792412,-9.30611219233062,0,0,0,0
-40.4198074452364,-9.30611219233062,0,0,0,0
-40.3914359112315,-9.30611219233062,0,0,0,0
-40.3630643772267,-9.30611219233062,0,0,0,0
-40.3346928432219,-9.30611219233062,0,0,0,0
-38.235199326864,-9.30611219233062,0,0,0,0
-37.0435948986609,-9.30611219233062,0,0,0,0
-37.0152233646561,-9.30611219233062,0,0,0,0
-36.9868518306513,-9.30611219233062,0,0,0,0
-36.9584802966464,-9.30611219233062,0,0,0,0
-36.9301087626416,-9.30611219233062,0,0,0,0
-36.6747649565981,-9.30611219233062,0,0,0,0
-36.6463934225932,-9.30611219233062,0,0,0,0
-36.6180218885884,-9.30611219233062,0,0,0,0
-36.5896503545836,-9.30611219233062,0,0,0,0
-40.6751512512799,-9.27774065832578,0,0,0,0
-40.6467797172751,-9.27774065832578,0,0,0,0
-40.6184081832702,-9.27774065832578,0,0,0,0
-40.5900366492654,-9.27774065832578,0,0,0,0
-40.5616651152606,-9.27774065832578,0,0,0,0
-40.5332935812557,-9.27774065832578,0,0,0,0
-40.5049220472509,-9.27774065832578,0,0,0,0
-40.476550513246,-9.27774065832578,0,0,0,0
-40.4481789792412,-9.27774065832578,0,0,0,0
-40.4198074452364,-9.27774065832578,0,0,0,0
-40.3914359112315,-9.27774065832578,0,0,0,0
-40.3630643772267,-9.27774065832578,0,0,0,0
-40.3346928432219,-9.27774065832578,0,0,0,0
-38.235199326864,-9.27774065832578,0,0,0,0
-38.2068277928592,-9.27774065832578,0,0,0,0
-38.1784562588544,-9.27774065832578,0,0,0,0
-37.0435948986609,-9.27774065832578,0,0,0,0
-37.0152233646561,-9.27774065832578,0,0,0,0
-36.9868518306513,-9.27774065832578,0,0,0,0
-36.9584802966464,-9.27774065832578,0,0,0,0
-36.9301087626416,-9.27774065832578,0,0,0,0
-36.9017372286368,-9.27774065832578,0,0,0,0
-36.8449941606271,-9.27774065832578,0,0,0,0
-36.8166226266223,-9.27774065832578,0,0,0,0
-36.7882510926174,-9.27774065832578,0,0,0,0
-36.7315080246078,-9.27774065832578,0,0,0,0
-36.7031364906029,-9.27774065832578,0,0,0,0
-36.6747649565981,-9.27774065832578,0,0,0,0
-36.6463934225932,-9.27774065832578,0,0,0,0
-36.6180218885884,-9.27774065832578,0,0,0,0
-36.5896503545836,-9.27774065832578,0,0,0,0
-36.5612788205787,-9.27774065832578,0,0,0,0
-40.6751512512799,-9.24936912432095,0,0,0,0
-40.6467797172751,-9.24936912432095,0,0,0,0
-40.6184081832702,-9.24936912432095,0,0,0,0
-40.5900366492654,-9.24936912432095,0,0,0,0
-40.5616651152606,-9.24936912432095,0,0,0,0
-40.5332935812557,-9.24936912432095,0,0,0,0
